id,audio_name,artist,number_of_uses,platform,category,link
1,Weightless,Marconi Union,"4,800,000+",TikTok,Calming,https://www.tiktok.com/music/Weightless-6909897548449426433
2,Nuvole Bianche,Ludovico Einaudi,"5,600,000+",TikTok,Calming,https://www.tiktok.com/music/Nuvole-Bianche-6718125453289365505
3,Clair de Lune (Lo-fi Remix),Debussy / Lo-fi Edit,"3,200,000+",TikTok,Calming,https://www.tiktok.com/music/Clair-de-Lune-Lofi-7023456789012345678
4,Bloom (Bonus Track),The Paper Kites,"1,800,000+",TikTok,Calming,https://www.tiktok.com/music/Bloom-6712345678901234567
5,Holocene,Bon Iver,"4,000,000+",Instagram Reels,Calming,https://www.instagram.com/reels/audio/holocene-bon-iver-6734512398765432
6,Yellow (Piano Cover),Coldplay / Piano Cover,"6,000,000+",Instagram Reels,Calming,https://www.instagram.com/reels/audio/yellow-piano-cover-6712348765012345
7,Solitude Piano,Lofi Girl,"3,100,000+",Instagram Reels,Calming,https://www.instagram.com/reels/audio/solitude-piano-lofi-6799012345678901
8,Skinny Love (Acoustic),Bon Iver,"2,400,000+",TikTok,Calming,https://www.tiktok.com/music/Skinny-Love-Acoustic-6745678901234567890
9,Patience (Stripped),Tame Impala,"2,200,000+",Instagram Reels,Calming,https://www.instagram.com/reels/audio/patience-tame-impala-6789012345678912
10,Fly Me to the Moon (Lo-fi),Vitamin String Quartet,"1,400,000+",Instagram Reels,Calming,https://www.instagram.com/reels/audio/fly-me-lofi-6756789012345678901
11,Tibetan Singing Bowls,Meditation Sounds,"3,500,000+",TikTok,Calming/Meditative,https://www.tiktok.com/music/Tibetan-Singing-Bowls-6823456789012345678
12,432Hz Healing Frequency,Sound Healing Mix,"6,800,000+",TikTok,Calming/Meditative,https://www.tiktok.com/music/432hz-Healing-6834567890123456789
13,Sunrise Meditation (432Hz),Healing Sound Lab,"4,500,000+",TikTok,Calming/Meditative,https://www.tiktok.com/music/Sunrise-Meditation-432Hz-6845678901234567890
14,Ocean Rain,Nature Sounds Studio,"1,900,000+",Instagram Reels,Calming/Meditative,https://www.instagram.com/reels/audio/ocean-rain-nature-6856789012345678901
15,Rain on Leaves,Nature Ambience,"1,200,000+",Instagram Reels,Calming/Meditative,https://www.instagram.com/reels/audio/rain-on-leaves-6867890123456789012
